,D008175,D020786,D013274,D008103,D006528,D015179,D014901,D011471,D012516,D001943,D005909,D005910,D021441,D002289,D010051,D015470,D007154,D014376,D015473,D006333,D007889,D011218,D000230,D055752,D000077195,D015535,D020031
D008175,1.0,0.0349531240901415,0.14102936196971894,0.0,0.12483007396465538,0.10570874349631078,0.0,0.14102936196971894,0.060583886351593445,0.2306891661570888,0.04708364223491506,0.06069108465407851,0.10593824659575046,0.7294632662381646,0.13133683292834483,0.07128648199281494,0.0,0.0,0.05911848754466439,0.0,0.07128648199281494,0.0,0.07128648199281494,0.7294632662381646,0.1712499395346587,0.0,0.0
D020786,0.0349531240901415,1.0,0.03395576275472852,0.0,0.06784692532462078,0.02560323441347692,0.031506784010455355,0.03395576275472852,0.08488615850462936,0.05753597364468234,0.06113775473477079,0.0849880483279662,0.06018872961176822,0.024118515076952524,0.03516462496662914,0.09451792777021331,0.0,0.0,0.07661056841824711,0.07371367070050704,0.09451792777021331,0.13342463230141471,0.09451792777021331,0.024118515076952524,0.08246399526148357,0.0,0.0
D013274,0.14102936196971894,0.03395576275472852,1.0,0.10374761803938173,0.2924225372471684,0.45578203298845615,0.0,0.13541255428345833,0.05807091375223721,0.2208342155409697,0.045049973184015074,0.058169396259327454,0.24950446204399493,0.10296480726104074,0.12728759932405706,0.06783252344897726,0.0,0.0,0.05632051793295958,0.0,0.06783252344897726,0.0,0.06783252344897726,0.10296480726104074,0.16442953020134227,0.0,0.0
D008103,0.0,0.0,0.10374761803938173,1.0,0.22225396058095848,0.07990351603925461,0.0,0.0,0.0,0.0,0.0,0.0,0.07735740420868854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D006528,0.12483007396465538,0.06784692532462078,0.2924225372471684,0.22225396058095848,1.0,0.22303948591138897,0.0,0.12040928004295168,0.11381565567365637,0.19479905956801655,0.14965389834039602,0.2032846284960818,0.48464312159943335,0.09134771628869326,0.11608994695982225,0.13042944935784992,0.0,0.0,0.10677049217763153,0.0,0.13042944935784992,0.0,0.5871103860260295,0.09134771628869326,0.3678048176101928,0.0,0.0
D015179,0.10570874349631078,0.02560323441347692,0.45578203298845615,0.07990351603925461,0.22303948591138897,1.0,0.0,0.10197862838554499,0.0435271296749515,0.17490672815841055,0.03157350119550299,0.043592210924058315,0.19321608383021102,0.07268754054628498,0.1014577340503884,0.049853615996345586,0.0,0.0,0.04023007765001004,0.0,0.049853615996345586,0.0,0.049853615996345586,0.07268754054628498,0.12768752629786725,0.0,0.0
D014901,0.0,0.031506784010455355,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035900883379956935,0.0,0.0,0.0,0.025237510148823063,0.0,0.0,0.0,0.0,0.13322872731614155
D011471,0.14102936196971894,0.03395576275472852,0.13541255428345833,0.0,0.12040928004295168,0.10197862838554499,0.0,1.0,0.05807091375223721,0.2208342155409697,0.045049973184015074,0.058169396259327454,0.10273713142988027,0.10296480726104074,0.21537590335454643,0.06783252344897726,0.0,0.0,0.05632051793295958,0.0,0.06783252344897726,0.0,0.06783252344897726,0.10296480726104074,0.16442953020134227,0.0,0.0
D012516,0.060583886351593445,0.08488615850462936,0.05807091375223721,0.0,0.11381565567365637,0.0435271296749515,0.0,0.05807091375223721,1.0,0.0949896566529189,0.11434598828479371,0.14739263415990494,0.0965907542490666,0.04419371961943511,0.054079872382259635,0.17312431341112197,0.0,0.0,0.1435734697513278,0.0,0.31860692972298915,0.0,0.17312431341112197,0.04419371961943511,0.14102936196971894,0.0,0.0
D001943,0.2306891661570888,0.05753597364468234,0.2208342155409697,0.0,0.19479905956801655,0.17490672815841055,0.0,0.2208342155409697,0.0949896566529189,1.0,0.08258278440007072,0.09516299318309199,0.16466076038706565,0.18787195641355436,0.19189725007351474,0.1123905112298148,0.0,0.0,0.0987474809316089,0.0,0.1123905112298148,0.0,0.1123905112298148,0.18787195641355436,0.2519585009527842,0.1420322619146723,0.0
D005909,0.04708364223491506,0.06113775473477079,0.045049973184015074,0.0,0.14965389834039602,0.03157350119550299,0.0,0.045049973184015074,0.11434598828479371,0.08258278440007072,1.0,0.7758485812335949,0.12630957732392067,0.03029466544130805,0.04406370708538103,0.13558012527466934,0.0,0.0,0.1055147258405995,0.0,0.13558012527466934,0.0,0.24951300365674445,0.03029466544130805,0.18283464668066712,0.0,0.0
D005910,0.06069108465407851,0.0849880483279662,0.058169396259327454,0.0,0.2032846284960818,0.043592210924058315,0.0,0.058169396259327454,0.14739263415990494,0.09516299318309199,0.7758485812335949,1.0,0.1724802852387146,0.04427028324026957,0.054150182946081975,0.173484871024367,0.0,0.0,0.14386518960795439,0.0,0.173484871024367,0.0,0.3192704769271964,0.04427028324026957,0.24217462932454695,0.0,0.0
D021441,0.10593824659575046,0.06018872961176822,0.24950446204399493,0.07735740420868854,0.48464312159943335,0.19321608383021102,0.0,0.10273713142988027,0.0965907542490666,0.16466076038706565,0.12630957732392067,0.1724802852387146,1.0000000000000002,0.07773192716298358,0.24805435543085474,0.10829777048979965,0.0,0.0,0.08895825009487932,0.0,0.10829777048979965,0.0,0.4511269771752747,0.07773192716298358,0.3008730277589351,0.0,0.0
D002289,0.7294632662381646,0.024118515076952524,0.10296480726104074,0.0,0.09134771628869326,0.07268754054628498,0.0,0.10296480726104074,0.04419371961943511,0.18787195641355436,0.03029466544130805,0.04427028324026957,0.07773192716298358,1.0,0.10215661209244545,0.05180999501956475,0.0,0.0,0.04039522194616806,0.0,0.05180999501956475,0.0,0.05180999501956475,0.7579817029327051,0.1325807633284542,0.0,0.0
D010051,0.13133683292834483,0.03516462496662914,0.12728759932405706,0.0,0.11608994695982225,0.1014577340503884,0.0,0.21537590335454643,0.054079872382259635,0.19189725007351474,0.04406370708538103,0.054150182946081975,0.24805435543085474,0.10215661209244545,1.0,0.060788974375013016,0.0,0.0,0.052362280961489795,0.0,0.060788974375013016,0.0,0.060788974375013016,0.10215661209244545,0.14975011685183184,0.0,0.0
D015470,0.07128648199281494,0.09451792777021331,0.06783252344897726,0.0,0.13042944935784992,0.049853615996345586,0.0,0.06783252344897726,0.17312431341112197,0.1123905112298148,0.13558012527466934,0.173484871024367,0.10829777048979965,0.05180999501956475,0.060788974375013016,1.0,0.0,0.0,0.8249995187486767,0.0,0.21027009483971001,0.0,0.21027009483971001,0.05180999501956475,0.16473612837608764,0.0,0.0
D007154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D014376,0.0,0.0,0.0,0.0,0.0,0.0,0.035900883379956935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06792410708690395
D015473,0.05911848754466439,0.07661056841824711,0.05632051793295958,0.0,0.10677049217763153,0.04023007765001004,0.0,0.05632051793295958,0.1435734697513278,0.0987474809316089,0.1055147258405995,0.14386518960795439,0.08895825009487932,0.04039522194616806,0.052362280961489795,0.8249995187486767,0.0,0.0,1.0,0.0,0.1734727270499994,0.0,0.1734727270499994,0.04039522194616806,0.13677840069433042,0.0,0.0
D006333,0.0,0.07371367070050704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D007889,0.07128648199281494,0.09451792777021331,0.06783252344897726,0.0,0.13042944935784992,0.049853615996345586,0.0,0.06783252344897726,0.31860692972298915,0.1123905112298148,0.13558012527466934,0.173484871024367,0.10829777048979965,0.05180999501956475,0.060788974375013016,0.21027009483971001,0.0,0.0,0.1734727270499994,0.0,1.0,0.0,0.21027009483971001,0.05180999501956475,0.16473612837608764,0.0,0.0
D011218,0.0,0.13342463230141471,0.0,0.0,0.0,0.0,0.025237510148823063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
D000230,0.07128648199281494,0.09451792777021331,0.06783252344897726,0.0,0.5871103860260295,0.049853615996345586,0.0,0.06783252344897726,0.17312431341112197,0.1123905112298148,0.24951300365674445,0.3192704769271964,0.4511269771752747,0.05180999501956475,0.060788974375013016,0.21027009483971001,0.0,0.0,0.1734727270499994,0.0,0.21027009483971001,0.0,1.0,0.05180999501956475,0.4505028816815459,0.0,0.0
D055752,0.7294632662381646,0.024118515076952524,0.10296480726104074,0.0,0.09134771628869326,0.07268754054628498,0.0,0.10296480726104074,0.04419371961943511,0.18787195641355436,0.03029466544130805,0.04427028324026957,0.07773192716298358,0.7579817029327051,0.10215661209244545,0.05180999501956475,0.0,0.0,0.04039522194616806,0.0,0.05180999501956475,0.0,0.05180999501956475,1.0,0.1325807633284542,0.0,0.0
D000077195,0.1712499395346587,0.08246399526148357,0.16442953020134227,0.0,0.3678048176101928,0.12768752629786725,0.0,0.16442953020134227,0.14102936196971894,0.2519585009527842,0.18283464668066712,0.24217462932454695,0.3008730277589351,0.1325807633284542,0.14975011685183184,0.16473612837608764,0.0,0.0,0.13677840069433042,0.0,0.16473612837608764,0.0,0.4505028816815459,0.1325807633284542,1.0,0.0,0.0
D015535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1420322619146723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D020031,0.0,0.0,0.0,0.0,0.0,0.0,0.13322872731614155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06792410708690395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
